"Story","Title","Result","Date","Stability","Duration (s)"
"Reto Automatizacion CHOUCAIR","Creacion Login y unidades de negocio Exitoso","SUCCESS","2021-10-07T15:51:36.899-05:00[America/Bogota]","0.0","31.09"
"Reto Automatizacion CHOUCAIR","Creacion reunion Exitosa","SUCCESS","2021-10-07T15:52:08.011-05:00[America/Bogota]","0.0","39.32"
